NCTId,Condition,Brief Title,Completion Date,Intervention Name,Phase,Enrollment,Primary Outcome,Secondary Outcome,Study Type,Lead Sponsor,Eligibility,Location,Study First Post Date
NCT05260281,To Evaluate the Added Value of the Use of Artificial Intelligence in the Diagnosis of Referable Diabetic Retinopathy in a Teaching Hospital Setting,Performance Evaluation of Artificial Intelligence Assisted Diabetic Retinopathy Grading in the Leuven University Hospital: Can Technology Improve the Resident?,2022-11-01,MONA algorithm,Unaddressed,139,sensitivity and specificity,sensitivity and specificity,Observational,,"Inclusion Criteria:

- Diagnosis of diabetes mellitus
Age > 18 years old
Patient is capable of giving informed consent
Fluent in written and oral Dutch, or interpreter present

Exclusion Criteria:

- History of treatment for diabetic retinopathy or diabetic macular edema (laser or intravitreal injections)
Participant is contraindicated for imaging by fundus imaging systems used in the study",,2022-03-02
NCT06073405,"Colon Polyp, Artificial Intelligence",Colonic Polyp Size Measurement With Artificial Intelligence,2024-03-30,Colonic Polyp Measurement Assessment Via Artificial Intelligence,Unaddressed,190,"1. Accuracy of the novel virtual polyp sizing tool in the determination of polyp size class among diminutive (0-5 mm), small (6-9 mm) and large (10 mm and above) as compared to the size estimated in-vivo by performing endoscopists with the help of a side-by-side forceps of known size",1. Polyp size in mm as determined by the novel virtual polyp sizing tool as compared to the size estimated in-vivo by performing endoscopists with the help of a side-by-side forceps of known size,Observational,,"Inclusion criteria:

Patients aged 18 years or older undergoing colonoscopy
Ability to provide written, informed consent (approved by EC) and understand the responsibilities of trial participation.

Exclusion criteria:

Patients with known contra-indications to colonoscopy
Patients who perform an emergency colonoscopy.",Italy,2023-10-10
NCT05795725,"Colon Cancer, Microbiota, Colonoscopy",Evaluation of the Diagnostic Potential of Artificial Intelligence-assisted Fecal Microbiome Testing for Colon Cancer,2024-05-31,"Artificial Intelligence-assisted Fecal Microbiome Testing, Colonoscopy",Not Applicable,1000,"The diagnostic accuracy of the AI-assisted fecal microbiome testing in detecting colon cancer, as measured by sensitivity, specificity, positive predictive value, negative predictive value, and area under the receiver operating characteristic curve (AUC-ROC).",,Interventional,,"Inclusion Criteria:

over 18 years not pregnant not meeting any of the exclusion criteria Voluntary consent form signer * Indications for colonoscopy:

Colorectal cancer or adenomatous polyp in first-degree relatives Patients followed for more than 8 years with ulcerative colitis, Crohn's Disease, or individuals with a history of hereditary polyposis or non-polyposis syndrome. In these groups, the screening procedure should be started from the age of 40.

It is a population-based screening that begins at age 50 and ends at age 70 for all men and women (50 and 70 years will be included). However, especially in this group of patients;

Male patients presenting with iron deficiency anemia Female patients over 40 years of age presenting with iron deficiency anemia Patients with positive occult blood in stool in screening programs Patients presenting with rectal bleeding Patients with defecation irregularity, weight loss

Exclusion Criteria:

under 18 years old
Pregnant or planning to become
Have another known diagnosis of gastrointestinal disease
Abdominal surgery other than appendectomy or hysterectomy history
Psychiatric comorbidity
Chronic diseases that will affect the microbiome (cancer, diabetes, cardiovascular disease, liver diseases, neurological diseases, etc.)
Use of drugs that may affect digestive function (including use in the last 4 weeks), probiotics, narcotic analgesics, lactulose (prebiotics) in the 4 weeks before the study
Patients taking dietary supplements will not be included in the study.",Turkey,2023-04-03
NCT03787784,"Probe-based Confocal Laser Endomicroscopy, Artificial Intelligence, Colorectal Polyps",Automatic Classification of Colorectal Polyps Using Probe-based Endomicroscopy With Artificial Intelligence,2019-03-30,AI presentation,Not Applicable,200,"The primary outcome is to test the diagnostic accuracy, sensitivity, specificity, PPV, NPV of the Artificial Intelligence for diagnosing Colorectal Polyps on real-time pCLE examination.","The secondary outcome is to compare the diagnosis efficiency (including diagnostic accuracy, sensitivity, specificity, PPV, NPV for diagnosing Colorectal Polyps on real-time pCLE examination) between Artificial Intelligence and endoscopists.",Interventional,,"Inclusion Criteria:

aged between 18 and 80; agree to give written informed consent.

Exclusion Criteria:

Patients under conditions unsuitable for performing CLE including coagulopathy , impaired renal or hepatic function, pregnancy or breastfeeding, and known allergy to fluorescein sodium; Inability to provide informed consent",China,2018-12-26
NCT05797207,"Inflammatory Bowel Diseases, Microbiota, Colonoscopy",Evaluation of the Diagnostic Potential of Artificial Intelligence-assisted Fecal Microbiome Testing for Inflammatory Bowel Disease,2024-12-31,"Artificial Intelligence-assisted Fecal Microbiome Testing, Colonoscopy",Not Applicable,300,"The diagnostic accuracy of the AI-assisted fecal microbiome testing in detecting inflammatory bowel disease, as measured by sensitivity, specificity, positive predictive value, negative predictive value, and area under the receiver operating characteristic curve (AUC-ROC).",,Interventional,,"Inclusion Criteria:

being over 18 years of age not to be pregnant To apply with the complaint of chronic diarrhea (4 weeks or more) Not meeting any of the exclusion criteria Signing the voluntary consent form

Exclusion Criteria:

under 18 years old Pregnant or planning to become Acute diarrhea cases Have another known diagnosis of gastrointestinal disease ( malabsorption of any macronutrient, intestinal resection, celiac disease, etc.)
Abdominal surgery other than appendectomy or hysterectomy history
Psychiatric comorbidity
Chronic disease that will affect the microbiome (cancer, diabetes, cardiovascular disease, liver diseases, neurological diseases, etc.)
Use of drugs that may affect digestive function (including use in the last 4 weeks), probiotics, narcotic analgesics, lactulose (prebiotics) in the 4 weeks before the study
Patients taking dietary supplements will not be included in the study.",Turkey,2023-04-04
NCT05447221,"Gastric Intestinal Metaplasia, Artificial Intelligence, Pathology, Gastric Cancer",Automatic Evaluation of the Severity of Gastric Intestinal Metaplasia With Pathology Artificial Intelligence Diagnosis System,2023-12-31,The diagnosis of Artificial Intelligence and pathologists,Unaddressed,150,"The diagnostic performance of AI model to assess the severity of intestinal metaplasia in a single biopsy tissue slide: Accuracy, sensitivity, and specificity","Accuracy of the digital pathological AI model in identifying tumor regions in the whole slide images, Accuracy of digital pathological AI models to identify glands, mucosal epithelium, and intestinal metaplasia in non-neoplastic areas",Observational,,"Inclusion Criteria:

patients aged 40-75 years who undergo the gastroscopy examination and biopsy

Exclusion Criteria:

patients with severe cardiac, cerebral, pulmonary or renal dysfunction or psychiatric disorders who cannot participate in gastroscopy
patients with previous surgical procedures on the stomach
patients with contraindications to biopsy
patients who refuse to sign the informed consent form",China,2022-07-07
NCT05268263,"Respiratory, Lung","Feasibility of AI-based Classification of Normal, Wheeze and Crackle Sounds From Stethoscope in Clinical Settings",2022-02-22,Artificial Intelligence Algorithm,Not Applicable,60,"Artificial intelligence models are trained on lung sounds collected from three different digital stethoscopes named NoaScope, eSteth, and Littmann individually. Data from all three digital stethoscopes is also merged to train separate AI models. These trained AI models will be evaluated based on sensitivity which is the ability to correctly identify wheezes and crackles, and specificity which is the ability to correctly identify normal lung sounds. True positive (TP), true negative (TN), false positive (FP), and false-negative (FN) values will be used to calculate sensitivity & specificity using the following expressions.

Sensitivity: TP/TP+FN Specificity: TN/TN+FP, AI models will be tested for their clinical feasibility through comparison of results obtained from AI models with that of the gold standard by measuring positive and negative agreement (NPA & PPA). The gold standard is the label given to each lung sound recording by an experienced consultant pulmonologist. The AI model is blinded to these labels and is tested independently for detection of normal lung sounds, wheezes, and crackles","Performance analysis of three digital stethoscopes NoaScope, eSteth, and Littmann will be evaluated using the sensitivity and specificity achieved by each stethoscope. True positive (TP), true negative (TN), false positive (FP), and false-negative (FN) values will be used to calculate sensitivity & specificity using the following expressions.

Sensitivity: TP/TP+FN Specificity: TN/TN+FP",Interventional,,"Inclusion Criteria:

Ages all
Written consent provided

Exclusion Criteria:

Subject condition unstable
Chest wall deformity or wounds in adhesive application areas
Written consent not provided",Pakistan,2022-03-07
NCT04913181,"Artificial Intelligence, Septic Shock, Intensive Care Unit Psychosis",Artificial Intelligence for Sepsis Prediction in ICU,2023-06-01,Artificial intelligence sepsis prediction model,Unaddressed,2000,Evaluation of the accuracy of prediction model in clinical application,,Observational,,"Inclusion Criteria:

All patients with acute critical illness who are eligible for admission to ICU during the study period

Exclusion Criteria:

Patients under the age of 16;
Pregnant and parturient women;
Patients who planned to be admitted to the department for surgery and transferred the next day after evaluation;
Patients admitted to the department and diagnosed with sepsis;
Patients with ICU stay less than 24 hours;",,2021-06-04
NCT04487626,Colonic Disease,Development and Validation of an Artificial Intelligence System for Bowel Preparation Quality Scoring,2020-12-30,AI,Not Applicable,100,"Bowel preparation quality was measured by BBPS. After fully washing or suctioning of colonic contents, three segments including right colon (containing cecum and ascending colon), transvers colon (containing hepatic and splenic flexures) and left colon (containing descending and sigmoid colon) were individually scored from 0 to 3. Point 0 refers to unprepared colon segment with obscured solid stool making mucosa cannot be seen; Point 1 refers to part of mucosa can be seen, but some areas are covered by staining, residual stool, and/or opaque liquid; Point 2 refers to entire mucosa is well-seen; Point 3 refers to clean colon segment without staining, fecal materials or liquids. A sub-score of each colon segment was used, ranging from minimum 0 to maximum 3. The highest score means the excellent bowel preparation. Adequate bowel preparation was defined as a total BBPS≥6 and sub-BBPS≥2 per segment.",,Interventional,,"Inclusion Criteria:

Patients aged 20-80 years undergoing elective colonoscopy

Exclusion Criteria:

Patients received colon or rectal surgery","Korea, Republic of",2020-07-27
NCT05762991,"Helicobacter Pylori Infection, Premalignant Lesion",Application of Artificial Intelligence on the Diagnosis of Helicobacter Pylori Infection and Premalignant Gastric Lesion,2026-12-31,,Unaddressed,2000,"Outcomes include the atrophic gastritis, intestinal metaplasia, and Helicobacter pylori infection","Outcomes include the atrophic gastritis, intestinal metaplasia, and Helicobacter pylori infection",Observational,,"Inclusion Criteria:

Age 20-80
Scheduled urea breath test and endoscopy

Exclusion Criteria:

1. History of gastric surgery",Taiwan,2023-03-10
NCT04648449,"Stroke, Acute, Apoplexy; Brain, Emergencies, Communication, Multidisciplinary",Artificial Intelligence (AI) Support in Stroke Calls,2024-08-31,Artificial intelligence on emergency calls,Unaddressed,1000,"Survey AI's ability to recognize stroke, compared to the current system",,Observational,,"Inclusion Criteria:

All callers to medical emergency number 113 in Bergen

Exclusion Criteria:

Age <18",Norway,2020-12-01
NCT04786197,Covid19,Detection of SARS-CoV-2 (COVID-19) by SERS Spectroscopy Combined With Artificial Intelligence,2023-12-31,,Unaddressed,712,Detection of the SARS-CoV-2 virus with the technique by spectral analysis combined with artificial intelligence and with the reference technique by RT-qPCR (Xpert Xpress SARS-CoV-2 or Simplexa™ COVID-19 Direct assay),Detection limit of the technique by spectral analysis combined with artificial intelligence compared to the CTs of RT-qPCR (Xpert Xpress SARS-CoV-2 or Simplexa™ COVID-19 Direct assay),Observational,,"Inclusion Criteria:

Patient aged ≥ 18 years
Patient presenting to the GhPSJ for a consultation or hospitalization and for whom a PCR test for SARS-CoV-2 is prescribed as part of his care
French-speaking patient.

Exclusion Criteria:

Patient under guardianship or curatorship
Patient deprived of liberty
Patient under legal protection
Patient objecting to the use of their data for this research.",France,2021-03-08
NCT04255615,"Infertility, in Vitro Fertilization (IVF), ART",Use of Artificial Intelligence for Clinical Assessment of Assisted Reproductive Techniques and IVF Outcomes,2024-01-31,AI to analyze 3 D ultrasound,Not Applicable,4000,"To assess the accuracy and feasibility of using our artificial intelligence tool to assess antral follicle count, an indicator of baseline ovarian reserve, at time of baseline ultrasound for ART compared to qAVCantral and manual follicle counts to number of total oocytes retrieved., To assess the accuracy and feasibility of using our artificial intelligence tool","Number of mature oocytes (ART cycles), Number of multiple gestation for OI cycles., Clinical intrauterine pregnancies, Clinical intrauterine pregnancies",Interventional,,"Inclusion Criteria:

All patients undergoing ovarian stimulation (including OI and IVF cycles)
Treatment for fresh embryo transfer and cryopreservation of oocytes or embryos upfront
Healthy male partners of the female subjects who agree to be part of the study.

Exclusion Criteria:

None",United States,2020-02-05
NCT05668637,Invasive Mechanical Ventilation,Evaluation and Further Development of an Artificial Intelligence-based Algorithm for Clinical Decision Support,2025-02-28,Artificial Intelligence-based Decision support,Unaddressed,318542,,,Observational,,"Inclusion Criteria:

• Subjects who are 18 years or older and receive invasive mechanical ventilation for > 4 hours

Exclusion Criteria:

• Patients receiving one-lung ventilation","United States, Germany, Germany, Serbia, Spain, Spain, Spain, Switzerland",2022-12-30
NCT05139797,Cardiac Amyloidosis,Artificial Intelligence Guided Echocardiographic Screening of Rare Diseases (EchoNet-Screening),2025-06-01,EchoNet-LVH screening for cardiac amyloidosis,Unaddressed,300,"From chart review, identification of patients who have a downstream diagnosis of cardiac amyloidosis","From chart review, identification of patients who have a downstream diagnosis of TTR amyloidosis, From chart review, identification of patients who have a downstream diagnosis of AL amyloidosis",Observational,,"Inclusion Criteria:

Patients who have a high suspicion for cardiac amyloidosis by AI algorithm

Exclusion Criteria:

Patients who decline to be seen at specialty clinic
Patients who have passed away",United States,2021-12-01
NCT05369572,"Artificial Intelligence, Tongue, Bile Reflux",Connection Between Tongue Signs and Bile Reflux Analysed With Artificial Intelligence,2025-06-30,,Unaddressed,1500,"Sensitivity of artificial intelligence models Sensitivity = number of true positives / (number of true positives + number of false negatives) * 100%., Specificity of Artificial Intelligence Models Specificity = number of true negatives / (number of true negatives + number of false positives))

*100%, Positive predictive values from artificial intelligence models Positive predictive value = true positive / (true positive + false positive) *100%, Negative predictive values for artificial intelligence models Negative Predictive Value = True Negative / (True Negative + False Negative) *100%, area under the receiver operating characteristic curve (AUC),, Accuracy for artificial intelligence models Accuracy = (true positives + true negatives) / total number of subjects * 100%",,Observational,,"Inclusion Criteria:

Patients aged 18 to 80 years who wish to undergo gastroscopy.
Patients have given their informed consent and signed the informed consent form.

Exclusion Criteria:

Serious heart, liver, kidney or other underlying illness, or mental illness.
Patients taking anti-anxiety or depression medication within 3 months.
Current H. pylori infection.
History of surgery on the digestive or biliary tract.
Peptic ulcer, malignant tumour of the digestive tract, etc.
Patients taking bismuth or other staining medications.
Pregnant or lactating women.",China,2022-05-11
NCT04859634,"Artificial Intelligence, Diagnostic Imaging, Abnormality of the Fundus, Diagnostic Screening Programs",Real-time Artificial Intelligence System for Detecting Multiple Ocular Fundus Lesions by Ultra-widefield Fundus Imaging,2022-12-25,Taking an ultra-widefield fundus image,Unaddressed,2000,Performance of artificial intelligence system for detecting multiple ocular fundus lesions based on ultra-widefield fundus imaging.,"Performance of artificial intelligence system for detecting multiple ocular fundus lesions based on ultra-widefield fundus imaging., Performance of artificial intelligence system for detecting multiple ocular fundus lesions based on ultra-widefield fundus imaging., The comparison between the performacne of AI system and ophthalmologists of three degrees of expertise., Features of Misclassification, Features of Misclassification, Data processing time of AI system.",Observational,,"Inclusion Criteria:

All the participants who agree to take ultra-widefield fundus images.

Exclusion Criteria:

Patients who cannot cooperate with a photographer such as some paralytics, the patients with dementia and severe psychopaths.
Patients who do not agree to sign informed consent.",China,2021-04-26
NCT05368636,"Artificial Intelligence, Tongue, Gastric Cancer",Combining Tongue and Gastric Cancer Cascade With Artificial Intelligence,2025-06-30,,Unaddressed,4000,"Sensitivity of artificial intelligence models Sensitivity = number of true positives / (number of true positives + number of false negatives) * 100%., Specificity of Artificial Intelligence Models Specificity = number of true negatives / (number of true negatives + number of false positives))*100%, Positive predictive values from artificial intelligence models Positive predictive value = true positive / (true positive + false positive)*100%, Negative predictive values for artificial intelligence models Negative predictive value = true negative / (true negative + false negative)*100%, area under the receiver operating characteristic curve (AUC), Accuracy of artificial intelligence models Accuracy = (true positives + true negatives) / total number of subjects * 100%",,Observational,,"Inclusion Criteria:

Patients between 40 and 80 years of age who are scheduled for gastroscopy.
Patients all gave their informed consent and signed the informed consent form.

Exclusion Criteria:

Persons with severe cardiac, cerebral, pulmonary or renal dysfunction or psychiatric disorders who are unable to participate in gastroscopy.
Patients with previous surgical procedures on the gastrointestinal tract.
Patients taking bismuth or other staining drugs.",China,2022-05-10
NCT05487014,"Preeclampsia, Lung Edema",Artificial Intelligence in Lung Ultrasound for Preeclampsia,2022-07-26,,Unaddressed,35,"If present, pulmonary edema will be diagnosed by visualising 3 B lines at least 2 or more regions",,Observational,,"Inclusion Criteria:

Pregnant women who underwent cesarean section with a diagnosis of preeclampsia

Exclusion Criteria:

Preeclamptic parturients who have another lung disease
Preeclamptic parturients whose optimal lung US image could not be obtained",Turkey,2022-08-04
NCT05790473,"Fetal Anomaly, Brain Malformation",Artificial Intelligence Algorithm for the Screening of Abnormal Fetal Brain Findings at First Trimester Ultrasound Scan,2025-05-01,Artificial Intelligence,Unaddressed,10000,Number of cases detected with AI algorithm application,Number of cases detected with AI algorithm application compared with those detected with standard techniques of prenatal diagnosis,Observational,,"Inclusion Criteria:

Women with single pregnancies who underwent ultrasound examination between 11+0 - 13+6 weeks of gestation or a fetal crown-rump-length between 45 - 84 mm.

Exclusion Criteria:

Women who did not have the first trimester screening scan at the settled gestational age.
Women in which a good visualization of the mid-sagittal view of the fetal head was not technically possible.
Women who are not able to give the informed consent.",Italy,2023-03-30
NCT04876157,Ultrasound Image Interpretation,Artificial Intelligence-aimed Point-of-care Ultrasound Image Interpretation System,2024-12-31,Artificial intelligence-aimed point-of-care ultrasound image interpretation system,Not Applicable,300,increase the sensitivity and specificity of AI to interpret the ultrasound image,,Interventional,,"Inclusion Criteria:

patients receiving echocardiography or renal ultrasound

Exclusion Criteria:

patients not receiving echocardiography or renal ultrasound",Taiwan,2021-05-06
NCT05033678,Skin Cancer,Implementation of Teledermoscopy and Artificial Intelligence,2029-08-31,Diagnostic algorithms,Unaddressed,8000,"Measure how referral patterns are affected by the introduction of teledermoscopy, Measuring how the continuous use of teledermoscopy affects the diagnostic accuracy in general practitioners, Measuring if the risk of undetected skin cancer increases with the use of teledermoscopy, Measuring if the diagnostic accurcy differs depending on if physician can see the results of the artificial intelligence, Measuring if the diagnostic accuracy and the willingness to reconsider the preliminary diagnosis differs according to when in the process a physician is presented with the results of the artificial intelligence",,Observational,,"Inclusion Criteria:

Has a skin lesion assessed by a physician during a visit
The physician decides to create a teledermoscopy referral

Exclusion Criteria:

inability or unwillingness to participate in the study
the patient is younger than 15 years old","Sweden, Sweden, Sweden, Sweden, Sweden, Sweden, Sweden, Sweden, Sweden, Sweden, Sweden",2021-09-05
NCT04843176,"HCC, Liver Cancer",Artificial Intelligence vs. LIRADS in Diagnosing HCC on CT,2026-06-30,"Prototype artificial intelligence algorithm, LI-RADS",Not Applicable,250,"Number of participants diagnosed with HCC using a composite clinical reference standard. A lesion will be considered positive for HCC based on histology (biopsy, surgical resection or explant) or achieving LR-5 criteria in subsequent imaging. A lesion will be considered negative for HCC if it demonstrated stability at imaging for at least 12 months, unequivocal spontaneous reduction, or disappearance in the absence of tumor treatment.","Number of participants diagnosed with HCC using a composite clinical reference standard. A lesion will be considered positive for HCC based on histology (biopsy, surgical resection or explant) or achieving LR-5 criteria in subsequent imaging. A lesion will be considered negative for HCC if it demonstrated stability at imaging for at least 12 months, unequivocal spontaneous reduction, or disappearance in the absence of tumor treatment., Mean time for AI interpretation for recruited participants, Number of technical failures overall",Interventional,,"Inclusion Criteria:

1. Age >=18 years. 2. Defined as the at-risk population requiring regular liver ultrasonography surveillance. These include:

Cirrhotic patients of any disease etiology,

Chronic hepatitis B patients of age ≥40 years for men, age ≥50 years for women or with a family history of HCC.

3. At least one new-onset focal liver nodule detected on liver ultrasonography.

Exclusion Criteria:

Liver nodules of <1 cm. Currently such nodules are not reported using LI-RADS criteria but are recommended for a repeat scan in 3-6 months. In patients with multiple liver nodules, the largest nodule will be assessed.
Patients with contraindications for contrast CT imaging, including a history of contrast anaphylaxis and impaired renal function (glomerular filtration rate <30 ml/min).
Patients with prior transarterial chemoembolization or other interventional procedures with intrahepatic injection of lipiodol. Lipiodol is extremely hyperdense on computed tomography and will preclude objective interpretation. Such patients were also excluded in the development of our prototype AI algorithm.",Hong Kong,2021-04-13
NCT04079478,Colon Cancer,The AID Study: Artificial Intelligence for Colorectal Adenoma Detection,2019-12-31,AI,Unaddressed,700,To compare the additional diagnostic yield obtained by AI-aided colonoscopy to the yield obtained by the Standard (high-definition) colonoscopy,,Observational,,"Inclusion Criteria:

All 40-80 years-old subjects undergoing a colonoscopy.

Exclusion Criteria:

subjects with personal history of CRC, or IBD.
patients with inadequate bowel preparation (defined as Boston Bowel Preparation Scale > 2 in any colonic segment).
patients with previous colonic resection.
patients on antithrombotic therapy, precluding polyp resection.
patients who were not able or refused to give informed written consent.",Italy,2019-09-06
NCT05118022,"Hyperkalemia, Hypokalemia",Artificial Intelligence Identified Dyskalemia Using Electrocardiogram (AIDE),2023-02-28,Artificial Intelligence identified Dyskalemia using Electrocardiogram (AIDE) system,Not Applicable,14989,"Calcium supplement, insulin, potassium binding resin, β2-agonist, loop diuretics, sodium bicarbonate, and hemodialysis., Intravenous potassium chloride, oral potassium gluconate, and oral potassium chloride, Echocardiogram for patients with abnormal ECG.","ICU admission, Discharge from inpatient department or emergency department, ED revisits in patients without hospitalization",Interventional,,"Inclusion Criteria:

Patients in emergency department.
Patients recieved at least 1 ECG examination.

Exclusion Criteria:

Patients recieved dyskalemia-related treatment before ECG examination.
The patients recieved ECG at the period of inactive AI-ECG system.",Taiwan,2021-11-11
NCT04399590,Artificial Intelligence,Comparing the Number of False Activations Between Two Artificial Intelligence CADe Systems: the NOISE Study,2021-03-31,Interficial Intelligence,Unaddressed,40,,,Observational,,"Inclusion Criteria:

Age over 18 years
Ability to provide and to give informed consent
Boston Bowel Preparation Score > 6 (>2 each segment)

Exclusion Criteria:

Boston Bowel Preparation Score < 6 (<2 each segment)
Patients who had chronic inflammatory bowel diseases (such as Chron or Ulcerative Colitis)
Inability to obtain written informed consent
Patient unwilling to participate to the study",Italy,2020-05-22
NCT03899623,"Diabete Mellitus, Diabetic Retinopathy",Multi-modal Imaging and Artificial Intelligence Diagnostic System for Multi-level Clinical Application,2019-12-31,,Unaddressed,3000,Sensitivity: the percentage of diabetic retinopathy（DR） patients who are correctly identified as having the condition by AI. Sensitivity=True positive/(True positive+False negative). Specificity: the percentage of healthy people who are correctly identified as not having the condition by AI. Specificity=True negative /(True negative +False positive). The ROC curve was plotted with true positive rate (sensitivity) as the ordinate and false positive rate (1-specificity) as the abscissa.,,Observational,,"Inclusion Criteria:

Group A(normal individuals): Meet all the items 1 ~ 5 below

No familial or hereditary retinopathy;
No history of ocular trauma and / or history of ocular disease (except for mild to moderate refractive errors and / or age-related cataracts);
No drug use history that may cause side effects of retina (such as chloroquine, hydroxychloroquine, chlorpromazine, rifampin, etc.); 4 binocular diopter ≤ ± 6.00D; No systemic diseases that may affect the retina.

Group B(diabetes patients without ocular complications): meet any of 1 to 3, and both 4 to 5 items

Diagnosed with type 1 diabetes for more than 5 years;
Diagnosed with type 2 diabetes patients;
Diagnosis of gestational diabetes patients;
Without systemic disease that may affect the retina except for diabetes;
Meet the standards of 1 to 4 items.

Group C(patients with diabetic ocular complications): meet with any of 1 to 3, and all 4 to 6 items

Diagnosed with type 1 diabetes for more than 5 years;
Diagnosed with type 2 diabetes patients;
Diagnosis of gestational diabetes patients;
Meet the guidelines for diagnosis and treatment of diabetic retinopathy in any stage of diabetic retinopathy and / or diabetic macular edema.
Without systemic disease that may affect the retina except for diabetes;
A group to meet the criteria for 1 to 4 items.

Exclusion Criteria:

Refractive pathway is turbid, so that fundus image can not be clearly photographed;
With other fundus diseases and / or other diseases that seriously affect the visual function;
Any eye infection, such as conjunctivitis, keratitis, scleritis, endophthalmitis, acute and chronic dacryocystitis, or eye injury;
Serious systemic diseases such as diabetes, hypertension, heart failur,renal failure;
Can not cooperate with the examiner due to mental or other reasons.",China,2019-04-02
NCT04022018,"Cervical Cancer, Radiotherapy Side Effect, Biomarker, Artificial Intelligence",Study on Adaptive Radiotherapy and Multimodal Information of Cervical Cancer Assisted by Artificial Intelligence,2022-05-30,"Adaptive radiotherapy, no adaptive radiotherapy",Not Applicable,122,"Hematologic toxicity, bladder and rectal radiotherapy toxicity were recorded according to the evaluation criteria of common adverse events (CTCAE version 4.03).","Follow-up every 3 months within 2 years after the end of radiotherapy, and every 6 months after 2 years. 2-year progression-free survival (PFS) will be calculated., Follow-up every 3 months within 2 years after the end of radiotherapy, and every 6 months after 2 years. 2-year overall survival (OS) will be calculated., To analyze Physical dosimetry differences between two groups, and the correlation between physical dosimetry differences and prognosis also will be evaluated., To investigate the predictive factors for the response rate of concurrent chemoradiotherapy for cervical cancer. The investigating multimodal factors include patients'demographic characteristics, ECOG score, disease staging, human papilloma virus(HPV) status, tumor standard uptake value (SUV) of PET/CT and tumor apparent diffusion coefficient (ADC) value of MRI, squamous cell carcinoma antigen, lymphocyte and hemoglobin. Response rate is assessed at 3 months after completion of radiotherapy by MRI according to RECIST 1.1 criteria., To investigate the prognostic factors for the 2-year overall survival rate of patients with cervical cancer after concurrent chemoradiotherapy. The investigating multimodal factors include patients'demographic characteristics, ECOG score, disease staging, human papilloma virus(HPV) status, tumor standard uptake value (SUV) of PET/CT and tumor apparent diffusion coefficient(ADC) value of MRI, squamous cell carcinoma antigen, lymphocyte and hemoglobin. Overall survival is calculated from the date of diagnosis of cervical cancer to the date of death from any cause., Compare the efficiency AI and labor.",Interventional,,"Inclusion Criteria:

pathologically confirmed cervical squamous cell carcinoma or adenocarcinoma without treatment before;
Age: ≥18 years old;
The International Federation of Gynecology and Obstetrics(FIGO) stage: IB2 to IVA, or IVB with only para-aortic lymph node metastasis, refused or could not be treated by surgery;
Eastern Cooperative Oncology Group(ECOG)score ≤2;
good bone marrow, hematopoietic and liver and kidney function: absolute neutrophil count (ANC) ≥ 1.5 ☓ 109 / L, the platelet count ≥100 ☓ 109 / L, or hemoglobin > 90 g/L, serum bilirubin < 1.5 ☓ upper limit of normal reference value(ULN), aspartate aminotransferase(AST) and alanine aminotransferase(ALT)< 2.5 ☓ ULN, serum creatinine clearance ≥ 50 ml/min.
provide informed consent.

Exclusion Criteria:

women in pregnancy or nursing;
contraindications to chemoradiotherapy;
subjects participating in other clinical trials or participating in other clinical trials within 30 days;",China,2019-07-16
NCT05171634,"Ulcerative Colitis, Dysplasia",Artificial Intelligence and Dysplasia Detection in Ulcerative Colitis (CUDISIA Study),2021-05-18,"DiscoveryTM, iSCAN",Not Applicable,50,"Proportion of dysplastic lesions in relation to all the lesions analyzed that were detected by Artificial Intelligence System (DiscoveryTM) or Virtual chromoendoscopy with iSCAN in patients with long-standing Ulcerative Colitis who undergo surveillance colonoscopy., Proportion of patients with dysplastic lesions in relation to all the patients with long-standing Ulcerative Colitis included in the study detected by Artificial Intelligence System (DiscoveryTM) or Virtual chromoendoscopy with iSCAN.",,Interventional,,"Inclusion Criteria:

Ulcerative Colitis confirmed by endoscopy and histology.
Involvement 30% of the colonic surface (or any extent if concomitant with PSC).
Duration of the disease >7 years (or any duration if concomitant with PSC).

Exclusion Criteria:

Personal history of colorectal cancer or high-grade dysplasia.
Previous colectomy (partial or complete).
Coagulopathy that prevents biopsies or polypectomy.
Colonoscopy performed in the previous 6 months.
Pregnant or nursing women.
Inadequate bowel preparation.
Presence of endoscopic Ulcerative Colitis activity.
Colonic stenosis and incomplete colonoscopy.",Spain,2021-12-29
NCT04275609,Gastrointestinal Disease,The Efficiency of Writing Endoscopic Reports by Artificial Intelligence and Physicians: a Randomized Controlled Trial,2020-03-30,"AI generated report, physicians writing report",Not Applicable,80,Sum of the time for writing gastroscopic report and colonoscopic report。,,Interventional,,"Inclusion Criteria:

patients aged between 18 and 80 years；
patients undergoing gastroscopy and colonoscopy examination with anesthesia；
patients able to give informed consent

Exclusion Criteria:

patients with the contraindications to endoscopic examination;
a history of gastrointestinal cancers;
allergic to anaesthetics in previous medical history;
the endoscopic procedure cannot be completed due to stenosis, obstruction, solid food or complications of anaesthesia.",,2020-02-19
