NCTId,Condition,Brief Title,Completion Date,Intervention Name,Phase,Enrollment,Primary Outcome,Secondary Outcome,Study Type,Lead Sponsor,Eligibility,Location,Study First Post Date
NCT03622281,"Quality Control, Artificial Intelligence, Colonoscopy",Quality Improvement Intervention in Colonoscopy Using Artificial Intelligence,2019-05-31,quality improvement intervention using artificial intelligence,Not Applicable,676,Adenoma detection rate was defined as the number of exams with findings of adenoma divided by the total number of exams.,,Interventional,,"Inclusion Criteria:

aged between 18 and 80;
agree to give written informed consent.

Exclusion Criteria:

patients with the contraindications to colonoscopy examination;
patients with a history of inflammatory bowel disease (IBD), CRC, colorectal surgery;
patients with prior failed colonoscopy and high suspicion of polyposis syndromes, IBD and typical advanced CRC;
patients refused to participate in the trial;
the colonoscopyprocedure cannot be completed due to stenosis, obstruction, huge occupying lesions, or solid stool;
the colonoscopy procedure have to be terminated due to complications of anaesthesia.",China,2018-08-09
NCT05963841,Hyperparathyroidism,NUclear MEdicine DIagnostic and Artificial Intelligence,,treatment program,Unaddressed,1,Development of an artificial intelligence diagnostic program,Development of an automatic program for subtracting double-isotope parathyroid images.,Observational,,"Inclusion Criteria:

Men and women over 18 years of age who underwent dual-isotope parathyroid scintigraphy.
No refusal to use data for research purposes
Retrospective data (after 13/04/2022: Date of posting of patient information in the department) and prospective data

Exclusion Criteria:

Patient refusal to use data for research purposes
Patients who did not benefit from the standard acquisition protocol (123I injection followed by 99mTc 3 hours after LEHR, PINHOLE and SPECT/CT acquisitions)",,2023-07-27
NCT05464108,"Intestinal Metaplasia of Gastric Mucosa, Artificial Intelligence, Endoscopy",Validation The Artificial Intelligence System for Automatic Evaluation of the Extent of Intestinal Metaplasia,2023-12-30,The diagnosis of Artificial Intelligence and endosopists,Unaddressed,100,"A scale for endoscopic grading of gastric intestinal metaplasia (EGGIM) varies from 0 (normal endoscopy with no areas suggestive of intestinal metaplasia) to 10 (diffuse metaplasia in all gastric areas). Five different areas were considered (two areas in the antrum, two in the corpus, and one in the incisura). Each area was scored 0 (no intestinal metaplasia), 1 (focal intestinal metaplasia, ≤30 % of the area), or 2 points (extensive intestinal metaplasia in that area, > 30 % of the area), giving a possible total of 10 points. The higher the score, the more severe the degree of intestinal metaplasia, and the higher the risk of gastric cancer in patients.","A scale for endoscopic grading of gastric intestinal metaplasia (EGGIM) varies from 0 (normal endoscopy with no areas suggestive of intestinal metaplasia) to 10 (diffuse metaplasia in all gastric areas). Five different areas were considered (two areas in the antrum, two in the corpus, and one in the incisura). Each area was scored 0 (no intestinal metaplasia), 1 (focal intestinal metaplasia, ≤30 % of the area), or 2 points (extensive intestinal metaplasia in that area, > 30 % of the area), giving a possible total of 10 points. The higher the score, the more severe the degree of intestinal metaplasia, and the higher the risk of gastric cancer in patients., A scale for endoscopic grading of gastric intestinal metaplasia (EGGIM) varies from 0 (normal endoscopy with no areas suggestive of intestinal metaplasia) to 10 (diffuse metaplasia in all gastric areas). Five different areas were considered (two areas in the antrum, two in the corpus, and one in the incisura). Each area was scored 0 (no intestinal metaplasia), 1 (focal intestinal metaplasia, ≤30 % of the area), or 2 points (extensive intestinal metaplasia in that area, > 30 % of the area), giving a possible total of 10 points. The higher the score, the more severe the degree of intestinal metaplasia, and the higher the risk of gastric cancer in patients., A scale for endoscopic grading of gastric intestinal metaplasia (EGGIM) varies from 0 (normal endoscopy with no areas suggestive of intestinal metaplasia) to 10 (diffuse metaplasia in all gastric areas). Five different areas were considered (two areas in the antrum, two in the corpus, and one in the incisura). Each area was scored 0 (no intestinal metaplasia), 1 (focal intestinal metaplasia, ≤30 % of the area), or 2 points (extensive intestinal metaplasia in that area, > 30 % of the area), giving a possible total of 10 points. The higher the score, the more severe the degree of intestinal metaplasia, and the higher the risk of gastric cancer in patients., A scale for endoscopic grading of gastric intestinal metaplasia (EGGIM) varies from 0 (normal endoscopy with no areas suggestive of intestinal metaplasia) to 10 (diffuse metaplasia in all gastric areas). Five different areas were considered (two areas in the antrum, two in the corpus, and one in the incisura). Each area was scored 0 (no intestinal metaplasia), 1 (focal intestinal metaplasia, ≤30 % of the area), or 2 points (extensive intestinal metaplasia in that area, > 30 % of the area), giving a possible total of 10 points. The higher the score, the more severe the degree of intestinal metaplasia, and the higher the risk of gastric cancer in patients.",Observational,,"Inclusion Criteria:

patients aged 40-75 years who undergo the IEE examination

Exclusion Criteria:

patients with severe cardiac, cerebral, pulmonary or renal dysfunction or psychiatric
disorders who cannot participate in gastroscopy
patients with previous surgical procedures on the stomach
patients with contraindications to biopsy
patients who refuse to sign the informed consent form",China,2022-07-19
NCT04903444,"Gastrointestinal Disease, Endoscopy, Artificial Intelligence, Endoscopic Retrograde Cholangiopancreatography",Development and Validation of an Artificial Intelligence-based Biliary Stricture Navigation System in MRCP-based ERCP,2022-07-01,Artificial intelligence assistant system,Not Applicable,62,The time of performing ERCP,"Intersection over Union of bile ducts predicted by artificial intelligence devices and actual bile ducts, Intersection over Union of the bile ducts generated by the AI device and the actual bile ducts in ERCP, The number of successful patients is the numerator, and the total number of patients with stent placement is the denominator., The number of patients who experienced adverse events was numerator, and the total number of patients undergoing stent placement was denominator., The sum of the total X ray fluoroscopy time during the whole procedure., Total amount of contrast medium during the whole procedure., The area of bile duct visualization of MRCP in different position, The difference in the time required to perform MRCP in different position",Interventional,,"Inclusion Criteria:

Bile duct segmentation model 1) Male or female aged 18 or above; 2) Who needs ERCP,MRCP and its related tests are needed to further define the characteristics of digestive tract diseases； 3)The images of MRCP and ERCP are clear; 4) Able to read, understand and sign informed consent; 5) The investigator believes that the subject can understand the process of the clinical study and is willing and able to complete all the study procedures and follow-up visits and cooperate with the study procedures.
Bile duct matching model

In addition to the criteria mentioned in the bile duct segmentation model, the bile duct matching model should also meet the following criteria:

Able to complete MRCP in prone position;
Bile ducts are almost completely visible in MRCP and ERCP.

(3) Clinical trials

In addition to the criteria mentioned in the bile duct segmentation model, the clinical trials should also meet the following criteria:

Able to complete MRCP in prone position;
Patients requiring biliary drainage by ERCP due to malignant hilar biliary obstruction.

Exclusion Criteria:

Bile duct segmentation model and bile duct matching model 1)Has participated in other clinical trials, signed the informed consent and was in the follow-up period of other clinical trials; 2) Drug or alcohol abuse or psychological disorder in the last 5 years; 3) Patients in pregnancy or lactation; 4) The investigator considers that the subjects were not suitable for MRCP, ERCP and related tests; 5)A high-risk diseases or other special conditions that the investigator considers inappropriate for the subject to participate in a clinical trial；
Clinical trials

In addition to the criteria mentioned in the above, the clinical trial must not meet any of the following criteria:

Previous gastrectomy;
Stent replacement;
Pyloric or duodenal obstruction.",China,2021-05-26
NCT05648227,Respiratory Disease,Validation of an Artificial Intelligence Enabled Diagnostic Support Software (ArtiQ.Spiro) in Primary Care Spirometry Datasets - a Retrospective Analysis,2024-05-01,,Unaddressed,1000,Evaluate diagnostic performance of an Artificial Intelligence enabled software (ArtiQ.Spiro) in UK care spirometry datasets.,,Observational,,"Inclusion Criteria:

Adult aged 18 years or over
At least one of the following respiratory symptoms: cough, wheeze, shortness of breath, reduced exercise tolerance
Spirometry performed for clinical purposes in a non-hospital lung function setting (such as a community clinic, a GP practice, or at home)
Spirometry was supervised by a doctor or non-medical allied health professional

Exclusion Criteria:

Aged 17 or under
No respiratory symptoms
Spirometry performed for pre-operative assessment
Spirometry performed exclusively as part of a research study
Spirometry performed at home without supervision.",United Kingdom,2022-12-13
NCT04378660,Polyp of Colon,Artificial Intelligence (AI) Validation Study for Polyp Detection,2020-04-18,Artificial intelligence for polyp detection,Not Applicable,357,Determination of the diagnostic accuracy of the novel AI system as second observer,Determination of the AI system's precision and extra value as second observer,Interventional,,"Inclusion Criteria:

> 18 years
Diagnostic or screening colonoscopy
Therapeutic colonoscopy

Exclusion Criteria:

Inability to give informed consent by the patient or legal representative
< 18 years old
Any contraindication for colonoscopy or biopsies of the colon
Uncontrolled coagulopathy
Confirmed diagnosis of inflammatory bowel disease
Short bowel or ileostomy
Pregnancy",Belgium,2020-05-07
NCT05479253,"Artificial Intelligence, Endoscopy",AI-assisted Endoscopy Report System In Improving Reporting Quality,2022-12-01,Artificial intelligence assistant system,Not Applicable,10,"Report lesion integrity with or without AI-assisted. Calculation method = number of report lesions / total number of lesions x 100%, Accuracy of lesion location with or without AI-assisted. Calculation method = number of lesion with correct location / total number of lesions x 100%, Lesion integrity in captured images with or without AI-assisted. Calculation method = number of lesions in captured images / total number of lesions x 100%, Lesion integrity in captured images with or without AI-assisted. Calculation method = number of standard parts in captured images / the actual number of standard parts covered by the examination x 100%",,Interventional,,"Inclusion Criteria:

Males or females who are over 18 years old;
After qualified medical education and obtained the Certificate of Chinese medical practitioner;

Exclusion Criteria:

Doctors without qualified medical education and didn't obtaine the Certificate of Chinese medical practitioner;
The researcher believes that the subjects are not suitable for participating in clinical trials.",China,2022-07-29
NCT05888935,Periapical Diseases,Detection of Periapical Lesions on Dental Panoramic Radiographs Based on Artificial Intelligence,2024-12-01,,Unaddressed,2000,"measurement of the F1 score. The F1 score is calculated as the harmonic mean of the precision and recall scores.

It ranges from 0-100%, and a higher F1 score denotes a better quality classifier.","measurement of the true positives, true negatives, false positives, false negatives",Observational,,"Inclusion Criteria:

Patients who have had CBCT and panoramic dental imaging with less than 3 months between the two examinations

Exclusion Criteria:

Patients who refused to participe in the study.",France,2023-06-05
NCT05932030,"Solid Organ Transplantation, Artificial Intelligence",Assessment of Knowledge and Perceptions of Artificial Intelligence in Solid Organ Transplantation,2023-12-01,Survey,Not Applicable,6750,Analysis of the verbatim by theme and comparison of the averages of closed questions or scale questions of the questionnaire obtained by the subgroups of patients and health professionals. For scale question studying the knowledge of AI the score goes from 0 to 10 with 0 for no knowledge and 10 for perfect knowledge. A verbatim is the complete reproduction of the words spoken by the interviewee. Verbatim will be grouped by response group and compared.,"Comparison of the averages obtained by the different types of health professionals. The average is calculated from the results obtained for the closed questions and the knowledge level score (ranging from 0 to 10, 0 for no knowledge and 10 for perfect knowledge) in the questionnaire., Analysis of the verbatim by grouping them by theme. A verbatim is the complete reproduction of the words spoken by the interviewee. Verbatim will be grouped by response group and compared., Comparison of the averages obtained by patients by transplanted organ. The average is calculated from the results obtained for the closed questions and the knowledge level score (ranging from 0 to 10, 0 for no knowledge and 10 for perfect knowledge) in the questionnaire., Analysis of the verbatim by grouping them by theme. A verbatim is the complete reproduction of the words spoken by the interviewee. Verbatim will be grouped by response group and compared., Comparison of overall averages between patients and health professionals. The average is calculated from the results obtained for the closed questions and the knowledge level score (ranging from 0 to 10, 0 for no knowledge and 10 for perfect knowledge) in the questionnaire., Analysis of the verbatim by grouping them by theme. A verbatim is the complete reproduction of the words spoken by the interviewee. Verbatim will be grouped by response group and compared.",Interventional,,"Inclusion Criteria:

age greater than or equal to 18 years
solid organ transplant patients or health professionals working in transplantation
no opposition to the study

Exclusion Criteria:

subject under guardianship or deprived of liberty
hematopoietic stem cell transplantation",,2023-07-06
NCT06093217,Pulmonary Embolism,Artificial Intelligence to Improve Detection and Risk Stratification of Acute Pulmonary Embolism (AID-PE),,Artificial Intelligence,Unaddressed,2500,Comparison before and after AI introduction,"True positives and True negatives, False positive and false negative rate with acute PE detection, Proportion of scans unable to be interpreted by AI despite suitable CTPA acquisition, True positive and true negative, False positive and false negative, Proportion of scans unable to calculate automated RV:LV ratio despite suitable CTPA acquisition, Comparison before and after AI introduction, Patient mortality (death) at 30-days post-PE diagnosis. Comparison before and after AI introduction., Patient mortality (death) at 12-months post-PE diagnosis. Comparison before and after AI introduction., Comparison before and after AI introduction, Comparison before and after AI introduction, Comparison before and after AI introduction, Comparison before and after AI introduction, Comparison before and after AI introduction, Quantified metrics from a non-validated questionnaire to evaluate end-use experience of integrated AI radiology reporting., Comparison before and after AI introduction, Comparison before and after AI introduction",Observational,,"Inclusion Criteria:

Patients over 18 years of age
Patient requiring CTPA to exclude or diagnose acute PE

Exclusion Criteria:

Patients under 18 years of age
Patients who have registered with the national opt-out scheme for research
CTPA performed for reasons other than acute PE
CTPA performed for acute PE but reported by external radiologists
Incomplete or discontinued CTPA scans
Insufficient quality CTPA to allow for analysis by a radiologist",,2023-10-23
NCT05829590,"Artificial Intelligence, Colonoscopy",AI-assisted Colonoscopy Report System In Improving Reporting Quality,2023-07-31,Artificial intelligence assistant system,Not Applicable,10,Report integrity with or without AI-assisted. Calculation method = number of information recorded / total number of information need to record x 100%,The integrity in captured bowel landmrak images with or without AI-assisted. Calculation method = number of anatomical landmarks in captured images / total number of anatomical landmarks x 100%,Interventional,,"Inclusion Criteria:

Patients:

Male or female ≥18 years old;
Able to read, understand and sign an informed consent;
The investigator believes that the subjects can understand the process of the clinical study, are willing and able to complete all study procedures and follow-up visits, and cooperate with the study procedures;
Patients requiring colonoscopy.

Doctors:

Males or females who are over 18 years old;
After qualified medical education and obtaining the Physician's Practice License.

Exclusion Criteria:

Patients:

Have drug or alcohol abuse or mental disorder in the last 5 years;
Pregnant or lactating women;
Patients with known multiple polyp syndrome;
patients with known inflammatory bowel disease;
known intestinal stenosis or space-occupying tumor;
known colon obstruction or perforation;
patients with a history of colorectal surgery;
Patients with a previous history of allergy to pre-used spasmolysis;
Unable to perform biopsy due to coagulation disorders or oral anticoagulants;
High-risk diseases or other special conditions that the investigator considers the subject unsuitable for participation in the clinical trial.

Doctors:

1. The researcher believes that the subjects are not suitable for participating in clinical trials.",China,2023-04-25
NCT05787405,SARS-CoV-1 Infection,"CORONABED.BOT -COVID-19: an Automation Project Using Artificial Intelligence for Early Diagnosis of Clinical Evolution From SARS-CoV-2""",2025-12-30,Artificial Intelligence methods,Unaddressed,8000,tThe DataMart built will allow the creation of predictive models both for diagnosis of SARS-coV-2 pneumonia as well as death,,Observational,,"Inclusion Criteria:

adult patients (18 years of age or older)
admitted to the Gemelli and Columbus Polyclinic
diagnosis of SARS-CoV-2 infection (suspected cases will also be included).

Exclusion Criteria:

aaaa",Italy,2023-03-28
NCT05723965,Rectal Cancer Stage III,Using Artificial Intelligence to Predict Rectal Cancer Outcomes,2022-12-31,"As training material for deep learning model., As materials for external validation for the buildup model.",Unaddressed,720,accuracy between artificial intelligence and experienced physician,real life survival outcome by artificial intelligence.,Observational,,"Inclusion Criteria:

clinical staging T3-4 with high quality CT images.

Exclusion Criteria:

1. not primary malignancy lesion
2. not localizing rectum
3. T1-2 lesion
4. non contrast or poor quality images",Taiwan,2023-02-13
NCT05914571,"Artificial Intelligence, Central Venous Catheter Associated Bloodstream Infection",Artificial Intelligence With Determination of Central Venous Catheter Line Associated Infection Risk,,,Unaddressed,2000,,,Observational,,"Inclusion Criteria:

Received at least 48 hours of treatment in the GICU,
Age ≥ 18,
CVC inserted,
No existing infection before hospitalization, patient data will be included in the dataset for designing and training the artificial intelligence model.

Exclusion Criteria:

Age <18,
Those receiving immunosuppressive therapy,
Those with multiple organ failure,
Patients undergoing organ transplantation,
Patients with a diagnosis of chronic kidney failure, will not be included in the dataset.",,2023-06-22
NCT05653063,"Cancer of Prostate, Cancer Head Neck, Cancer Cervix","ARCHERY - Artificial Intelligence Based Radiotherapy Treatment Planning for Cervical, Head and Neck and Prostate Cancer",2026-09-01,A web-based artificial intelligence (AI) auto-planning tool,Unaddressed,990,,,Observational,,"Inclusion Criteria:

Consecutive patients with histologically confirmed head and neck cancers of the oropharynx, larynx, hypopharynx and nasopharynx (Stage I-III) that have given consent for radical radiotherapy.
Consecutive histologically confirmed primary cervical cancer patients (Stage IB-IIIB including pelvic node positive) that have given consent for radical radiotherapy.
Consecutive histologically confirmed primary prostate cancer patients (T1-4N0M0) that have given consent for radical radiotherapy.
Mental capacity to understand and consent to participate in the study.
Patients aged ≥18years.

Exclusion Criteria:

Patients requiring radiotherapy after curative surgery or surgery that is intended to remove as much of the tumour as possible.
Patients receiving palliative radiotherapy
Patients aged < 18years.",,2022-12-16
NCT04071678,Artificial Intelligence,A Randomized Controlled Multicenter Study of Artificial Intelligence Assisted Digestive Endoscopy,2021-12-30,Careful examination during endoscopic procedures to identify lesions,Unaddressed,3600,"Endoscopic examination has a high dependence on the clinical experience and status of endoscopists, and the quality of endoscopic examination of endoscopists can be reduced by high-load work, and problems such as incomplete examination site coverage, incomplete detection of lesions, and incomplete image collection are easy to occur. Artificial intelligence does not have this weakness. It does not reduce its ability to work over a long period of time, and its assistance is expected to improve the detection rate of lesions, The quality of intestinal preparation determines the quality of colonoscopy, which is evaluated by endoscopists through the Boston score. The ai-assisted diagnostic model can also be automatically graded.The Boston bowel score is used to determine whether the bowel is adequately prepared. The Boston bowel score is divided into 4 grades (0~3 points) from worst to cleanest. The higher the score is, the better the bowel is prepared and more conducive to colonoscopy.",,Observational,,"Inclusion Criteria:

Voluntarily sign the informed consent for this study
Stable vital signs
Over 18 years old
Patients requiring painless gastroenteroscopy for various reasons

Exclusion Criteria:

Unable or unwilling to sign a consent form, or unable to follow research procedures
have contraindications to painless gastroenteroscopy
Vital signs are unstable
The lesions have been identified by gastroenteroscopy in other hospitals, which is to further confirm the patients who come to our hospital for endoscopic examination
Endoscopic treatment, such as polypectomy, pylorus narrow dilatation and so on",China,2019-08-28
NCT05871814,Cleansing Quality of the Colon,Artificial Intelligence and Bowel Cleansing Quality,2023-10-15,Colon preparation guided by an artificial intelligence device,Not Applicable,774,"The Boston Bowel Preparation Scale assesses the quality of bowel cleansing in the three segments of the colon (proximal, transverse, and distal) on a scale of 0 (no preparation) to 3 points (excellent preparation), with a maximum score of 9 points.",Proportion of participants assigned to the intervention group who used the device. It will be assessed by self-reported information from the patients and by the presence of a picture in a server for the storage of images.,Interventional,,"Inclusion Criteria:

Age ≥ 18 years.
Patients referred for outpatient colonoscopy
Sign informed consent

Exclusion Criteria:

Incomplete colonoscopy (except for poor bowel preparation)
Contraindication for colonoscopy
Allergies.
Refusal to participate in the study or impairment to sign the informed consent.
Colectomy (more than 1 segment)
Dementia with difficulty in the intake of the preparation.
Inability to use the smartphone application",,2023-05-23
NCT04196088,"Colorectal Adenoma, Colorectal Polyp, Colorectal Adenocarcinoma, Colorectal SSA",To Compare Artificial Intelligence Software Aided Adenoma Detection in Screening Colonoscopies Versus Standard Colonoscopy Without Artificial Intelligence Software Assistance in Participants Between 45 and 75 Years of Age,,"Ultivision Artificial Intelligence Software, No Artificial Intelligence Software enhancement",Not Applicable,978,"The primary efficacy endpoint is the mean adenomas per colonoscopy procedure (MAP) detection, as defined by the protocol, with Ultivision AI software enhancement to screening standard high definition white light colonoscopy (SHDWLC) versus screening SHDWLC without AI., The primary safety endpoint is the adenomas per extraction per colonoscopy procedure (APE), as defined by the protocol, using Ultivision AI software in subjects undergoing screening standard high definition white light colonoscopy (SHDWLC) versus SHDWLC without AI.","The secondary efficacy endpoint is the adenoma detection rate (ADR) defined as the ratio of screening colonoscopies with at least one adenoma, as defined by the protocol, detected divided by the total number of screening SHDWLC performed with Ultivision AI versus screening SHDWLC performed without AI.",Interventional,,"Primary Inclusion Criteria.

Average risk asymptomatic subjects undergoing a first colonoscopy (screening) or screening colonoscopy at least 10 years after prior colonoscopy.
Aged 45 years to aged 75 years at the time of enrollment.
Capable of providing written informed consent and willing and able to adhere to all protocol requirements, and/or the subject's legally acceptable representative(s) capable of providing written informed consent.

Primary Exclusion Criteria.

History of any colorectal cancer or colon adenomas.
History of inflammatory bowel disease, including Crohn's disease or ulcerative colitis.
Family history of colon cancer or precancerous colon polyp in a first degree relative before age 50.
Polyposis syndromes including Familial Adenomatous Polyposis, Cowden syndrome, Lynch syndrome, Peutz-Jeghers syndrome, MUTYH Associated Polyposis, Familial Colorectal Cancer Type X.
Surveillance, therapeutic, preoperative, or diagnostic colonoscopy.
Colonoscopy for work-up of abdominal or pelvic symptoms including abdominal pain, flank pain, pelvic pain, subject report of altered stool, subject report of anemia within the past 12 months, subject report of gastrointestinal bleeding including bright red blood per rectum or tarry stools, constipation, diarrhea, subject reported history of abdominal or pelvic mass, subject report of unintentional weight loss.
Workup or referral to diagnose or evaluate abnormal imaging of the abdomen or pelvis.
Positive Fecal Immunochemical Test history.
Severe co-mobordity, including end-stage cardiovascular, pulmonary, liver, or renal disease.
History of colon resection, not including the appendix.
Currently receiving a therapy not permitted during the trial, as defined in Section 8.3.
Any issue that, in the opinion of the investigator, would render the subject unsuitable for participation in the trial.

Enrolled subjects will be eligible for Post-procedure Periods if their colonoscopy meets the following criteria:

Adequate bowel preparation score per the Boston Bowel Preparation Scoring System (BBPS) > or equal to 2 in all colonic segments.
Colonoscopies with successful cecal intubation.
Colonoscopies with withdrawal times of at least 6 minutes.","United States, United States, United States, United States, United States, United States, United States, United States, United States",2019-12-12
NCT05281939,"Artificial Intelligence, Colposcopy, Cervical Lesions, Image",Multi-center Application of an AI System for Diagnosis of Cervical Lesions Based on Colposcopy Images,2024-09-01,Artificial intelligence diagnosis,Not Applicable,10000,"Cervical exfoliated cells were collected for HPV testing, Cervical exfoliated cells were collected for cytological and pathological examination., Cervical tissue was collected for histopathological examination, Accuracy in the diagnosis of cervical intraepithelial neoplasia grade 2 or worse., Accuracy in the diagnosis of cervical intraepithelial neoplasia grade 3 or worse.",,Interventional,,"Inclusion Criteria:

Married woman
Woman aged 18 and over
Woman with an intact cervix
Patients with abnormal results in cervical cancer screening
Be able to understand this study and have signed a written informed consent

Exclusion Criteria:

Woman with acute reproductive tract inflammation
History of pelvic radiotherapy surgery
Woman with mental disorder
Patients with history of other malignant tumors
Refuse to participate in this study","China, China, China, China, China",2022-03-16
NCT05161949,"Patients With Suspected Ovarian Carcinoma, Non Oncological Patients or With Endometriosis",Artificial inTelligence in eNdometriosis-related ovArian Cancer and Precision Surgery in eNdometriosis-related ovArian Cancer,2023-11-28,,Unaddressed,240,"development of a diagnostic and prognostic model based on the use of artificial intelligence in patients suffering from ovarian cancer related to endometriosis through the collection of all available information (clinical, pathological, molecular, genetic, radiomic data)","Correlation of the histopathological features, immuno-phenotypic and molecular alterations present in epithelial ovarian tumors, in particular in associated endometriosis related- ovarian tumors, using an immunohistochemical profile and an NGS panel

evaluation of the miRNA expression profile in endometriosis related- ovarian tumors
identification and validation of radiomic features indicative of endometriosis related- ovarian tumors
build a three-dimensional map of the lesions in order to distinguish the tumor areas to be removed during surgery while preserving the organs not affected by the tumor pathology",Observational,,"Inclusion Criteria:

age>18
Suspected diagnosis of epithelial ovarian cancer
Patients eligible for surgery
radiological imaging available
informed consent

Exclusion Criteria:

Patients with previous different malignancies
Patients with previous chemotherapeutic treatment
Patients with previous pelvic radiotherapeutic treatment",Italy,2021-12-17
NCT05863208,Adenoma Detection Rate,Artificial Intelligence-assisted Colonoscopy With or Without Endocuff Vision,2026-12-31,"Artificial intelligence, Endocuff vision, High-definition endoscope",Not Applicable,1000,The proportion of patients with at least one adenomas,"The proportion of patients with at least one polyp, The proportion of patients with at least one sessile serrated adenoma, The proportion of patients with at least one sessile serrated polyp, The proportion of patients with at least one advanced adenoma, The mean number of polyp per patient, The mean number of adenoma per patient, The total number of polyp or adenoma per patient",Interventional,,"Inclusion Criteria:

Patients over 20 years old are undergoing outpatient sedative colonoscopy in the E-Da Hospital, E-Da cancer Hospital and Chung Shan Medical University Hospital in Taiwan

Exclusion Criteria:

A prior history of of inflammatory bowel disease, colorectal cancer, previous bowel resection, Peutz-Jeghers syndrome, familial adenomatous polyposis or other polyposis syndromes
Bleeding tendency
For scheduled endoscopic treatment",Taiwan,2023-05-17
NCT04586556,Adenomatous Polyps,Artificial Intelligence for Real-time Detection and Monitoring of Colorectal Polyps,2022-05-11,Polyps detection by Artificial Intelligence,Not Applicable,372,"Efficacy of AI assisted colonoscopy to detect the proportion of patients with at least 1 polyp. Polyp detection rate with an AI., Compare of the automatic detection of the ileocecal valve, appendiceal orifice, and the automatic calculation of the withdrawal time with manual detection",,Interventional,,"Inclusion Criteria :

Signed informed consent
Age 45-80 years
Indication to undergo a lower GI endoscopy.

Exclusion Criteria :

Coagulopathy
Poor general health, defined as an American Society of Anesthesiologists (ASA) physical status class >3
Emergency colonoscopies
Hospitalized patients
Known inflammatory bowel disease (IBD)
Patients currently in the emergency room","Canada, Canada, France",2020-10-14
NCT04359355,"Adenoma Colon, Polyp of Colon",Computer-aided Detection of Colorectal Polyps,2020-05-31,Artificial Intelligence System for Detection of colorectal polyps,Unaddressed,40,"As a Primary outcome, whether the AI System is capable of detecting colorectal polyps in vivo during colonoscopy","As a secondary outcome, we assess the diagnostic Performance of the AI System for detecing colorectal Polyp in real time",Observational,,"Inclusion Criteria:

Screening or surveillance colonoscopy

Exclusion Criteria:

known or suspected inflammatory bowel disease
uncontrolled coagulopathy
known polyps or referral for polypectomy",Germany,2020-04-24
NCT04227795,"Colon Adenoma, Colonic Polyp, Colon Cancer",AI-assisted Detection of Missed Colonic Polyps,2020-03-01,Artificial intelligence-Assisted real time colonoscopy,Not Applicable,52,The number of patient had at least one missed adenoma,"The total number of missed polyps for all subjects, The number of patient had at least one missed adenoma, The total number of missed polyps for all subjects",Interventional,,"Inclusion Criteria:

consecutive adult patients, age 40 or above, who were scheduled to have outpatient colonoscopy in the Queen Mary Hospital were invited to participate

Exclusion Criteria:

Patients were excluded if they were unable to provide informed consent, considered to be unsafe for taking biopsy or polypectomy including patients with bleeding tendency and those with severe comorbid illnesses.
Also, patients with history of inflammatory bowel disease, familial adenomatous polyposis, Peutz-Jeghers syndrome or other polyposis syndromes were excluded.",Hong Kong,2020-01-14
NCT05260281,To Evaluate the Added Value of the Use of Artificial Intelligence in the Diagnosis of Referable Diabetic Retinopathy in a Teaching Hospital Setting,Performance Evaluation of Artificial Intelligence Assisted Diabetic Retinopathy Grading in the Leuven University Hospital: Can Technology Improve the Resident?,2022-11-01,MONA algorithm,Unaddressed,139,sensitivity and specificity,sensitivity and specificity,Observational,,"Inclusion Criteria:

- Diagnosis of diabetes mellitus
Age > 18 years old
Patient is capable of giving informed consent
Fluent in written and oral Dutch, or interpreter present

Exclusion Criteria:

- History of treatment for diabetic retinopathy or diabetic macular edema (laser or intravitreal injections)
Participant is contraindicated for imaging by fundus imaging systems used in the study",,2022-03-02
NCT06073405,"Colon Polyp, Artificial Intelligence",Colonic Polyp Size Measurement With Artificial Intelligence,2024-03-30,Colonic Polyp Measurement Assessment Via Artificial Intelligence,Unaddressed,190,"1. Accuracy of the novel virtual polyp sizing tool in the determination of polyp size class among diminutive (0-5 mm), small (6-9 mm) and large (10 mm and above) as compared to the size estimated in-vivo by performing endoscopists with the help of a side-by-side forceps of known size",1. Polyp size in mm as determined by the novel virtual polyp sizing tool as compared to the size estimated in-vivo by performing endoscopists with the help of a side-by-side forceps of known size,Observational,,"Inclusion criteria:

Patients aged 18 years or older undergoing colonoscopy
Ability to provide written, informed consent (approved by EC) and understand the responsibilities of trial participation.

Exclusion criteria:

Patients with known contra-indications to colonoscopy
Patients who perform an emergency colonoscopy.",Italy,2023-10-10
